raw_track_id,title,artist_name,album,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,market,stream_date
track_011,As It Was,Harry Styles,Harry's House,2022-04-01,167303,91,0.729,0.661,9,-5.951,1,0.0441,0.211,0.0,0.103,0.539,108.995,pop,US,2023-01-22
track_012,Anti-Hero,Taylor Swift,Midnights,2022-10-21,200690,93,0.511,0.582,0,-6.761,1,0.0534,0.364,0.0,0.0958,0.411,97.008,pop,US,2023-01-23
track_012,Anti-Hero,Taylor Swift,Midnights,2022-10-21,200690,93,0.511,0.582,0,-6.761,1,0.0534,0.364,0.0,0.0958,0.411,97.008,pop,UK,2023-01-23
track_003,Someone Like You,Adele,21,2011-01-24,285000,92,0.501,0.167,10,-7.651,1,0.0291,0.397,0.0,0.106,0.233,67.365,soul,CA,2023-01-24
track_013,Starboy,The Weeknd,Starboy,2016-09-22,230453,92,0.679,0.587,7,-7.015,1,0.282,0.134,0.000497,0.137,0.486,186.003,r&b,US,2023-01-24
track_001,Blinding Lights,The Weeknd,After Hours,2020-03-20,200040,95,0.514,0.73,1,-5.934,1,0.0598,0.00146,0.0,0.0897,0.334,171.005,pop,AU,2023-01-25
track_014,Stay,The Kid LAROI,F*ck Love 3,2021-07-09,141806,92,0.591,0.764,1,-5.484,0,0.0483,0.0383,0.0,0.103,0.478,169.928,pop,US,2023-01-25
track_006,Levitating,Dua Lipa,Future Nostalgia,2020-03-27,203064,89,0.695,0.825,6,-3.787,0,0.0632,0.0082,0.000015,0.0871,0.916,102.977,pop,CA,2023-01-26
track_015,Good 4 U,Olivia Rodrigo,Sour,2021-05-14,178147,90,0.563,0.664,9,-5.044,0,0.154,0.335,0.0,0.0849,0.688,164.049,pop-rock,US,2023-01-26
track_010,Watermelon Sugar,Harry Styles,Fine Line,2019-12-13,174000,90,0.548,0.816,5,-4.209,1,0.0465,0.122,0.0,0.0811,0.557,95.39,pop,UK,2023-01-27
track_009,Dynamite,BTS,BE,2020-08-21,199054,87,0.746,0.765,2,-6.321,0,0.0916,0.0142,0.0,0.0931,0.737,114.044,k-pop,JP,2023-01-27
track_011,As It Was,Harry Styles,Harry's House,2022-04-01,167303,91,0.729,0.661,9,-5.951,1,0.0441,0.211,0.0,0.103,0.539,108.995,pop,UK,2023-01-28
